company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_equity,high_leverage,interest_coverage,interest_label,interest_warning,net_debt,asset_turnover,book_value_per_share,dividend_payout_ratio,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_3yr_flag,revenue_cagr_5yr_flag,revenue_cagr_10yr_flag,pat_cagr_3yr_flag,pat_cagr_5yr_flag,pat_cagr_10yr_flag,eps_cagr_3yr_flag,eps_cagr_5yr_flag,eps_cagr_10yr_flag,quality_score
LICI,2020,0.43,-1.11,270.46,5.47,0.08,252.91,1,,Debt Free,0,-2722686.0,0.18,10.02,2.0,13952.0,20.06,High Quality,6.44,Moderate,-200.83,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,33.33
LICI,2021,0.43,-0.04,43.2,182.46,0.08,0.0,0,,Debt Free,0,-3517441.0,0.18,68.84,0.0,229049.0,27.1,High Quality,21.49,Capital Intensive,-90892.46,+,+,-,Liquidating Assets,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,55.56
LICI,2022,0.57,0.46,36.38,110.89,0.1,0.0,0,,Debt Free,0,-3926211.0,0.17,1.79,23.0,8748.0,0.92,Moderate,1.73,Asset Light,263.02,-,+,0,Unknown,8.18,,,16.23,,,,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,44.44
LICI,2023,4.59,4.36,77.86,90.69,0.79,0.0,0,545.55,Interest Bearing,0,-4243008.0,0.17,7.31,5.0,1671.0,1.51,High Quality,6.74,Moderate,4.88,+,-,-,Shareholder Returns,7.7,,,136.83,,,,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,66.67
LICI,2024,4.84,3.87,49.45,57.38,0.77,0.0,0,371.94,Interest Bearing,0,-4976133.0,0.16,13.08,15.0,853.0,0.64,Moderate,2.99,Asset Light,2.6,+,-,-,Reinvestor,6.98,8.16,,139.62,73.18,,111.26,,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,66.67
LICI,2024,4.84,3.87,41.91,48.62,0.72,0.0,0,371.94,Interest Bearing,0,-5413769.0,0.15,15.44,15.0,853.0,0.64,Moderate,2.99,Asset Light,2.6,+,-,-,Reinvestor,6.98,8.16,,139.62,73.18,,111.26,,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,66.67
LODHA,2016,8.52,25.77,17.69,9.25,2.27,3.48,1,2.67,Interest Bearing,0,13224.0,0.27,36.79,0.0,-467.0,0.55,Moderate,10.35,Capital Intensive,-21.97,+,-,+,Mixed,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,11.11
LODHA,2017,7.37,20.36,14.48,7.23,1.72,4.01,1,2.99,Interest Bearing,0,15003.0,0.23,35.69,0.0,295.0,2.52,High Quality,14.81,Capital Intensive,18.28,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,22.22
LODHA,2018,8.21,17.38,15.41,5.68,1.97,4.39,1,5.04,Interest Bearing,0,21232.0,0.24,13.01,0.0,45.0,0.88,Moderate,6.73,Moderate,2.68,+,-,+,Mixed,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,33.33
LODHA,2019,13.81,26.7,42.8,9.1,3.3,6.68,1,5.72,Interest Bearing,0,24236.0,0.24,9.7,0.0,-638.0,0.28,Accrual Risk,1.47,Asset Light,-20.07,-,-,+,Growth Funded by Debt,13.01,,,32.73,,,9.49,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,22.22
LODHA,2020,5.96,15.41,16.3,5.64,1.82,4.05,1,2.75,Interest Bearing,0,16870.0,0.31,11.49,0.0,3954.0,5.08,High Quality,1.46,Asset Light,206.26,+,+,-,Liquidating Assets,16.22,,,8.31,,,-11.54,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,33.33
